uniqueId;speed
0001;0.0
0002;0.0
0003;0.0
0004;0.0
0005;0.0
0006;0.0
0007;0.0
0008;0.0
0009;0.0
0010;0.0
0011;0.0
0012;0.0
0013;0.0
0014;0.0
0015;0.0
0016;0.0
0017;0.0
0018;0.0
0019;0.0
0020;0.0
0021;1.4
0022;1.4
0023;1.4
0024;1.4
0025;1.4
0026;1.4
0027;1.4
0028;1.4
0029;1.4
0030;1.4
0031;1.4
0032;1.4
0033;1.4
0034;1.4
0035;1.4
0036;1.4
0037;1.4
0038;1.4
0039;1.4
0040;1.4
0041;0.0
0042;0.0
0043;0.0
0044;0.0
0045;0.0
0046;0.0
0047;0.0
0048;0.0
0049;0.0
0050;0.0
0051;0.0
0052;0.0
0053;0.0
0054;0.0
0055;0.0
0056;0.0
0057;0.0
0058;0.0
0059;0.0
0060;0.0
0061;1.4
0062;1.4
0063;1.4
0064;1.4
0065;1.4
0066;1.4
0067;1.4
0068;1.4
0069;1.4
0070;1.4
0071;1.4
0072;1.4
0073;1.4
0074;1.4
0075;1.4
0076;1.4
0077;1.4
0078;1.4
0079;1.4
0080;1.4
0081;0.0
0082;0.0
0083;0.0
0084;0.0
0085;0.0
0086;0.0
0087;0.0
0088;0.0
0089;0.0
0090;0.0
0091;0.0
0092;0.0
0093;0.0
0094;0.0
0095;0.0
0096;0.0
0097;0.0
0098;0.0
0099;0.0
0100;0.0
0101;1.4
0102;1.4
0103;1.4
0104;1.4
0105;1.4
0106;1.4
0107;1.4
0108;1.4
0109;1.4
0110;1.4
0111;1.4
0112;1.4
0113;1.4
0114;1.4
0115;1.4
0116;1.4
0117;1.4
0118;1.4
0119;1.4
0120;1.4
0121;0.0
0122;0.0
0123;0.0
0124;0.0
0125;0.0
0126;0.0
0127;0.0
0128;0.0
0129;0.0
0130;0.0
0131;0.0
0132;0.0
0133;0.0
0134;0.0
0135;0.0
0136;0.0
0137;0.0
0138;0.0
0139;0.0
0140;0.0
0141;1.4
0142;1.4
0143;1.4
0144;1.4
0145;1.4
0146;1.4
0147;1.4
0148;1.4
0149;1.4
0150;1.4
0151;1.4
0152;1.4
0153;1.4
0154;1.4
0155;1.4
0156;1.4
0157;1.4
0158;1.4
0159;1.4
0160;1.4
0161;0.0
0162;0.0
0163;0.0
0164;0.0
0165;0.0
0166;0.0
0167;0.0
0168;0.0
0169;0.0
0170;0.0
0171;0.0
0172;0.0
0173;0.0
0174;0.0
0175;0.0
0176;0.0
0177;0.0
0178;0.0
0179;0.0
0180;0.0
0181;1.4
0182;1.4
0183;1.4
0184;1.4
0185;1.4
0186;1.4
0187;1.4
0188;1.4
0189;1.4
0190;1.4
0191;1.4
0192;1.4
0193;1.4
0194;1.4
0195;1.4
0196;1.4
0197;1.4
0198;1.4
0199;1.4
0200;1.4
0201;0.0
0202;0.0
0203;0.0
0204;0.0
0205;0.0
0206;0.0
0207;0.0
0208;0.0
0209;0.0
0210;0.0
0211;0.0
0212;0.0
0213;0.0
0214;0.0
0215;0.0
0216;0.0
0217;0.0
0218;0.0
0219;0.0
0220;0.0
0221;1.4
0222;1.4
0223;1.4
0224;1.4
0225;1.4
0226;1.4
0227;1.4
0228;1.4
0229;1.4
0230;1.4
0231;1.4
0232;1.4
0233;1.4
0234;1.4
0235;1.4
0236;1.4
0237;1.4
0238;1.4
0239;1.4
0240;1.4
